Image_Labels,Labels
lemons_7,lemon
lemons,lemon
lime,lime
limes_1,lime
limes_2,lime
limes_3,lime
limes_4,lime
limes,lime
milk_1,milk
milk_2,milk
milk_3,milk
milk,milk
mint_1,mint
mint_2,mint
mint_3,mint
mint_4,mint
mint_5,mint
mint_6,mint
mint_7,mint
mint_8,mint
mint_9,mint
mint_10,mint
mint_11,mint
mint,mint
mixed_beans_1,bean
mixed_beans,bean
mozzarella,cheese
mtn_dew_soda,soda
multi_color_carrot,carrot
multi_colored_carrots_1,carrot
multi_colored_carrots,carrot
mushroom_head,mushroom
mushroom,mushroom
mushrooms_1,mushroom
mushrooms_2,mushroom
mushrooms_3,mushroom
mushrooms_4,mushroom
mushrooms_5,mushroom
mushrooms_6,mushroom
mushrooms_7,mushroom
mushrooms,mushroom
navy_bean_1,bean
navy_bean,bean
noodles_1,noodles
noodles_2,noodles
noodles,noodles
nuts_oats,oats
oat_milk,milk
oats_1,oats
oats_2,oats
oats_3,oats
oats,oats
olive_oil_1,oil
olive_oil,oil
olives,olives
olives_1,olives
onion,onion
orange_bell_peppers,bell_pepper
orange_juice,juice
parmesan_cheese,cheese
peanut_butter_1,peanut_butter
peanut_butter_2,peanut_butter
peanut_butter_3,peanut_butter
peanut_butter_4,peanut_butter
peanut_butter_5,peanut_butter
peanut_butter_6,peanut_butter
peanut_butter,peanut_butter
pecan_1,pecans
pecans_1,pecans
pecans,pecans
peeled_banana,banana
pepsi_can,soda
pineapple_1,pineapple
pineapple_2,pineapple
pineapple_3,pineapple
pineapple_4,pineapple
pineapple_5,pineapple
pineapple_ring,pineapple
pineapple_juice_1,pineapple_juice
pineapple_juice,pineapple_juice
pineapple,pineapple
pinto_beans,beans
pizza,pizza
potatoes,potatoes
potatoes_1,potatoes
potatoes_2,potatoes
potatoes_3,potatoes
purple_cabbage_1,cabbage
purple_cabbage_2,cabbage
purple_cabbage_3,cabbage
purple_cabbage_4,cabbage
purple_cabbage,cabbage
purple_potato,potato
raisins_2,raisins
raisins_3,raisins
raisins_4,raisins
raisins,raisins
red_bell_pepper_1,bell_pepper
red_bell_pepper_2,bell_pepper
red_bell_pepper_3,bell_pepper
red_bell_pepper,bell_pepper
red_bell_peppers_1,bell_pepper
red_bell_peppers_2,bell_pepper
red_bell_peppers,bell_pepper
red_onions_1,red_onion
red_onions,red_onion
red_pepper_1,pepper
red_pepper_2,pepper
red_pepper,pepper
red_peppers_1,pepper
red_peppers_2,pepper
red_peppers_3,pepper
red_peppers_4,pepper
red_peppers,pepper
red_wine_1,red_wine
red_wine_2,red_wine
red_wine_3,red_wine
red_wine_4,red_wine
red_wine_5,red_wine
red_wine_6,red_wine
red_wine_7,red_wine
red_wine_8,red_wine
red_wine_9,red_wine
red_wine_10,red_wine
red_wine_11,red_wine
red_wine,red_wine
rice_1,rice
rice_2,rice
rice_3,rice
rice,rice
sausage_1,sausage
sausage_2,sausage
sausage,sausage
sausages_1,sausage
sausages_2,sausage
sausages,sausage
shredded_purple_cabbage,cabbage
shrimp_1,shrimp
shrimp_2,shrimp
shrimp_3,shrimp
shrimp,shrimp
shrimps,shrimp
sliced_bread_1,bread
sliced_bread_2,bread
sliced_bread_3,bread
sliced_bread,bread
sliced_carrots,carrot
sliced_cucumber_1,cucumber
sliced_cucumber_2,cucumber
sliced_cucumber,cucumber
sliced_lemons,lemon
sliced_limes_1,lime
sliced_limes_2,lime
sliced_limes,lime
sliced_pineapple_1,pineapple
sliced_pineapple,pineapple
sliced_pineapples,pineapple
sliced_wheat_bread,bread
sliced_zucchini,zucchii
soda_1,soda
soda_2,soda
soda_cans,soda
soda_lime,soda
soda,soda
string_beans_1,string_beans
string_beans,string_beans
thyme,thyme
tomato_1,tomato
tomato_sauce_1,tomato_sauce
tomato_sauce_2,tomato_sauce
tomato_sauce_3,tomato_sauce
tomato_sauce_4,tomato_sauce
tomato_sauce_5,tomato_sauce
tomato_sauce,tomato_sauce
tomato_soup_can_1,tomato_soup_can
tomato_soup_can,tomato_soup_can
tomato,tomato
tomatoes_1,tomato
tomatoes,tomato
uncooked_chicken_breast,chicken
uncooked_chicken,chicken
uncooked_steak,steak
walnut_1,walnuts
walnut,walnuts
walnuts,walnuts
wheat_bread,bread
white_onion,onion
yellow_bell_pepper,bell_pepper
yellow_onion_1,onion
yellow_onion_2,onion
yellow_onion_3,onion
yellow_onion,onion
yellow_onions_1,onion
yellow_onions_2,onion
yellow_onions_3,onion
yellow_onions,onion
zucchini_1,zucchini
zucchini_2,zucchini
zucchini_3,zucchini
zucchini_4,zucchini
zucchini_slices,zucchini
zucchini,zucchini
zucchinis,zucchini
