Image_Labels,Image_Labels_jpg,Labels
cheddar_cheese_1,cheddar_cheese_1.jpg,cheese
cheddar_cheese_2,cheddar_cheese_2.jpg,cheese
cheddar_cheese,cheddar_cheese.jpg,cheese
cheese,cheese.jpg,cheese
chicken_1,chicken_1.jpg,chicken
chicken_2,chicken_2.jpg,chicken
chicken_3,chicken_3.jpg,chicken
chicken_breast,chicken_breast.jpg,chicken
chicken_broth_1,chicken_broth_1.jpg,chicken_broth
chicken_broth,chicken_broth.jpg,chicken_broth
chicken_wing,chicken_wing.jpg,chicken
chicken,chicken.jpg,chicken
clove,clove.jpg,cloves
cloves_1,cloves_1.jpg,cloves
cloves,cloves.jpg,cloves
coca_cola_can_1,coca_cola_can_1.jpg,soda
coca_cola_can,coca_cola_can.jpg,soda
coca_cola_cans,coca_cola_cans.jpg,soda
coca_cola,coca_cola.jpg,soda
coconut_1,coconut_1.jpg,coconut
coconut_2,coconut_2.jpg,coconut
coconut_3,coconut_3.jpg,coconut
coconut_4,coconut_4.jpg,coconut
coconut_5,coconut_5.jpg,coconut
coconut_6,coconut_6.jpg,coconut
coconut_7,coconut_7.jpg,coconut
coconut,coconut.jpg,coconut
coconuts,coconuts.jpg,coconut
cooked_shrimp,cooked_shrimp.jpg,shrimp
corn_1,corn_1.jpg,corn
corn_2,corn_2.jpg,corn
corn_3,corn_3.jpg,corn
corn_4,corn_4.jpg,corn
corn_kernels,corn_kernels.jpg,corn
corn,corn.jpg,corn
crackers_1,crackers_1.jpg,crackers
crackers_2,crackers_2.jpg,crackers
crackers_3,crackers_3.jpg,crackers
crackers_4,crackers_4.jpg,crackers
crackers_5,crackers_5.jpg,crackers
crackers_6,crackers_6.jpg,crackers
crackers_7,crackers_7.jpg,crackers
crackers_8,crackers_8.jpg,crackers
crackers_9,crackers_9.jpg,crackers
crackers,crackers.jpg,crackers
curry_powder_1,curry_powder_1.jpg,curry_powder
curry_powder,curry_powder.jpg,curry_powder
cut_lemons,cut_lemons.jpg,lemon
eggs_1,eggs_1.jpg,egg
eggs_2,eggs_2.jpg,egg
eggs_3,eggs_3.jpg,egg
eggs_4,eggs_4.jpg,egg
eggs_5,eggs_5.jpg,egg
eggs_6,eggs_6.jpg,egg
eggs,eggs.jpg,egg
fresh_ginger_1,fresh_ginger_1.jpg,fresh_ginger
fresh_ginger_2,fresh_ginger_2.jpg,fresh_ginger
fresh_ginger_3,fresh_ginger_3.jpg,fresh_ginger
fresh_ginger_4,fresh_ginger_4.jpg,fresh_ginger
fresh_ginger_5,fresh_ginger_5.jpg,fresh_ginger
fresh_ginger_6,fresh_ginger_6.jpg,fresh_ginger
fresh_ginger_7,fresh_ginger_7.jpg,fresh_ginger
fresh_ginger_8,fresh_ginger_8.jpg,fresh_ginger
fresh_ginger_9,fresh_ginger_9.jpg,fresh_ginger
fresh_ginger_10,fresh_ginger_10.jpg,fresh_ginger
fresh_ginger_11,fresh_ginger_11.jpg,fresh_ginger
fresh_ginger,fresh_ginger.jpg,fresh_ginger
fresh_pasta_1,fresh_pasta_1.jpg,pasta
fresh_pasta_2,fresh_pasta_2.jpg,pasta
fresh_pasta_3,fresh_pasta_3.jpg,pasta
fresh_pasta_4,fresh_pasta_4.jpg,pasta
fresh_pasta,fresh_pasta.jpg,pasta
garlic_shallot_1,garlic_shallot_1.jpg,garlic
garlic_shallot_2,garlic_shallot_2.jpg,garlic
garlic_shallot,garlic_shallot.jpg,garlic
garlic_shallots_1,garlic_shallots_1.jpg,garlic
garlic_shallots_2,garlic_shallots_2.jpg,garlic
garlic_shallots_3,garlic_shallots_3.jpg,garlic
green_bell_peppers_1,green_bell_peppers_1.jpg,bell_pepper
green_bell_peppers,green_bell_peppers.jpg,bell_pepper
green_onion_1,green_onion_1.jpg,green_onion
green_onion_2,green_onion_2.jpg,green_onion
green_onion_3,green_onion_3.jpg,green_onion
green_onion,green_onion.jpg,green_onion
green_onions_1,green_onions_1.jpg,green_onion
green_onions,green_onions.jpg,green_onion
green_pepper,green_pepper.jpg,pepper
green_peppers_1,green_peppers_1.jpg,pepper
green_peppers_2,green_peppers_2.jpg,pepper
green_peppers_3,green_peppers_3.jpg,pepper
green_peppers_4,green_peppers_4.jpg,pepper
green_peppers,green_peppers.jpg,pepper
ground_beef,ground_beef.jpg,beef
ham,ham.jpg,ham
honey,honey.jpg,honey
ketchup,ketchup.jpg,ketchup
ketchup_1,ketchup_1.jpg,ketchup
ketchup_2,ketchup_2.jpg,ketchup
kidney_bean,kidney_bean.jpg,bean
lemon,lemon.jpg,lemon
lemon_1,lemon_1.jpg,lemon
lemon_2,lemon_2.jpg,lemon
lemon_3,lemon_3.jpg,lemon
lemons_1,lemons_1.jpg,lemon
lemons_2,lemons_2.jpg,lemon
lemons_3,lemons_3.jpg,lemon
lemons_4,lemons_4.jpg,lemon
lemons_5,lemons_5.jpg,lemon
lemons_6,lemons_6.jpg,lemon
lemons_7,lemons_7.jpg,lemon
lemons,lemons.jpg,lemon
lime,lime.jpg,lime
limes_1,limes_1.jpg,lime
limes_2,limes_2.jpg,lime
limes_3,limes_3.jpg,lime
limes_4,limes_4.jpg,lime
limes,limes.jpg,lime
milk_1,milk_1.jpg,milk
milk_2,milk_2.jpg,milk
milk_3,milk_3.jpg,milk
milk,milk.jpg,milk
mint_1,mint_1.jpg,mint
mint_2,mint_2.jpg,mint
mint_3,mint_3.jpg,mint
mint_4,mint_4.jpg,mint
mint_5,mint_5.jpg,mint
mint_6,mint_6.jpg,mint
mint_7,mint_7.jpg,mint
mint_8,mint_8.jpg,mint
mint_9,mint_9.jpg,mint
mint_10,mint_10.jpg,mint
mint_11,mint_11.jpg,mint
mint,mint.jpg,mint
mixed_beans_1,mixed_beans_1.jpg,bean
mixed_beans,mixed_beans.jpg,bean
mozzarella,mozzarella.jpg,cheese
mtn_dew_soda,mtn_dew_soda.jpg,soda
multi_color_carrot,multi_color_carrot.jpg,carrot
multi_colored_carrots_1,multi_colored_carrots_1.jpg,carrot
multi_colored_carrots,multi_colored_carrots.jpg,carrot
mushroom_head,mushroom_head.jpg,mushroom
mushroom,mushroom.jpg,mushroom
mushrooms_1,mushrooms_1.jpg,mushroom
mushrooms_2,mushrooms_2.jpg,mushroom
mushrooms_3,mushrooms_3.jpg,mushroom
mushrooms_4,mushrooms_4.jpg,mushroom
mushrooms_5,mushrooms_5.jpg,mushroom
mushrooms_6,mushrooms_6.jpg,mushroom
mushrooms_7,mushrooms_7.jpg,mushroom
mushrooms,mushrooms.jpg,mushroom
navy_bean_1,navy_bean_1.jpg,bean
navy_bean,navy_bean.jpg,bean
noodles_1,noodles_1.jpg,noodles
noodles_2,noodles_2.jpg,noodles
noodles,noodles.jpg,noodles
nuts_oats,nuts_oats.jpg,oats
oat_milk,oat_milk.jpg,milk
oats_1,oats_1.jpg,oats
oats_2,oats_2.jpg,oats
oats_3,oats_3.jpg,oats
oats,oats.jpg,oats
olive_oil_1,olive_oil_1.jpg,oil
olive_oil,olive_oil.jpg,oil
olives,olives.jpg,olives
olives_1,olives_1.jpg,olives
onion,onion.jpg,onion
orange_bell_peppers,orange_bell_peppers.jpg,bell_pepper
orange_juice,orange_juice.jpg,juice
parmesan_cheese,parmesan_cheese.jpg,cheese
peanut_butter_1,peanut_butter_1.jpg,peanut_butter
peanut_butter_2,peanut_butter_2.jpg,peanut_butter
peanut_butter_3,peanut_butter_3.jpg,peanut_butter
peanut_butter_4,peanut_butter_4.jpg,peanut_butter
peanut_butter_5,peanut_butter_5.jpg,peanut_butter
peanut_butter_6,peanut_butter_6.jpg,peanut_butter
peanut_butter,peanut_butter.jpg,peanut_butter
pecan_1,pecan_1.jpg,pecans
pecans_1,pecans_1.jpg,pecans
pecans,pecans.jpg,pecans
peeled_banana,peeled_banana.jpg,banana
pepsi_can,pepsi_can.jpg,soda
pineapple_1,pineapple_1.jpg,pineapple
pineapple_2,pineapple_2.jpg,pineapple
pineapple_3,pineapple_3.jpg,pineapple
pineapple_4,pineapple_4.jpg,pineapple
pineapple_5,pineapple_5.jpg,pineapple
pineapple_ring,pineapple_ring.jpg,pineapple
pineapple_juice_1,pineapple_juice_1.jpg,pineapple_juice
pineapple_juice,pineapple_juice.jpg,pineapple_juice
pineapple,pineapple.jpg,pineapple
pinto_beans,pinto_beans.jpg,beans
pizza,pizza.jpg,pizza
potatoes,potatoes.jpg,potatoes
potatoes_1,potatoes_1.jpg,potatoes
potatoes_2,potatoes_2.jpg,potatoes
potatoes_3,potatoes_3.jpg,potatoes
purple_cabbage_1,purple_cabbage_1.jpg,cabbage
purple_cabbage_2,purple_cabbage_2.jpg,cabbage
purple_cabbage_3,purple_cabbage_3.jpg,cabbage
purple_cabbage_4,purple_cabbage_4.jpg,cabbage
purple_cabbage,purple_cabbage.jpg,cabbage
purple_potato,purple_potato.jpg,potato
raisins_2,raisins_2.jpg,raisins
raisins_3,raisins_3.jpg,raisins
raisins_4,raisins_4.jpg,raisins
raisins,raisins.jpg,raisins
red_bell_pepper_1,red_bell_pepper_1.jpg,bell_pepper
red_bell_pepper_2,red_bell_pepper_2.jpg,bell_pepper
red_bell_pepper_3,red_bell_pepper_3.jpg,bell_pepper
red_bell_pepper,red_bell_pepper.jpg,bell_pepper
red_bell_peppers_1,red_bell_peppers_1.jpg,bell_pepper
red_bell_peppers_2,red_bell_peppers_2.jpg,bell_pepper
red_bell_peppers,red_bell_peppers.jpg,bell_pepper
red_onions_1,red_onions_1.jpg,red_onion
red_onions,red_onions.jpg,red_onion
red_pepper_1,red_pepper_1.jpg,pepper
red_pepper_2,red_pepper_2.jpg,pepper
red_pepper,red_pepper.jpg,pepper
red_peppers_1,red_peppers_1.jpg,pepper
red_peppers_2,red_peppers_2.jpg,pepper
red_peppers_3,red_peppers_3.jpg,pepper
red_peppers_4,red_peppers_4.jpg,pepper
red_peppers,red_peppers.jpg,pepper
red_wine_1,red_wine_1.jpg,red_wine
red_wine_2,red_wine_2.jpg,red_wine
red_wine_3,red_wine_3.jpg,red_wine
red_wine_4,red_wine_4.jpg,red_wine
red_wine_5,red_wine_5.jpg,red_wine
red_wine_6,red_wine_6.jpg,red_wine
red_wine_7,red_wine_7.jpg,red_wine
red_wine_8,red_wine_8.jpg,red_wine
red_wine_9,red_wine_9.jpg,red_wine
red_wine_10,red_wine_10.jpg,red_wine
red_wine_11,red_wine_11.jpg,red_wine
red_wine,red_wine.jpg,red_wine
rice_1,rice_1.jpg,rice
rice_2,rice_2.jpg,rice
rice_3,rice_3.jpg,rice
rice,rice.jpg,rice
sausage_1,sausage_1.jpg,sausage
sausage_2,sausage_2.jpg,sausage
sausage,sausage.jpg,sausage
sausages_1,sausages_1.jpg,sausage
sausages_2,sausages_2.jpg,sausage
sausages,sausages.jpg,sausage
shredded_purple_cabbage,shredded_purple_cabbage.jpg,cabbage
shrimp_1,shrimp_1.jpg,shrimp
shrimp_2,shrimp_2.jpg,shrimp
shrimp_3,shrimp_3.jpg,shrimp
shrimp,shrimp.jpg,shrimp
shrimps,shrimps.jpg,shrimp
sliced_bread_1,sliced_bread_1.jpg,bread
sliced_bread_2,sliced_bread_2.jpg,bread
sliced_bread_3,sliced_bread_3.jpg,bread
sliced_bread,sliced_bread.jpg,bread
sliced_carrots,sliced_carrots.jpg,carrot
sliced_cucumber_1,sliced_cucumber_1.jpg,cucumber
sliced_cucumber_2,sliced_cucumber_2.jpg,cucumber
sliced_cucumber,sliced_cucumber.jpg,cucumber
sliced_lemons,sliced_lemons.jpg,lemon
sliced_limes_1,sliced_limes_1.jpg,lime
sliced_limes_2,sliced_limes_2.jpg,lime
sliced_limes,sliced_limes.jpg,lime
sliced_pineapple_1,sliced_pineapple_1.jpg,pineapple
sliced_pineapple,sliced_pineapple.jpg,pineapple
sliced_pineapples,sliced_pineapples.jpg,pineapple
sliced_wheat_bread,sliced_wheat_bread.jpg,bread
sliced_zucchini,sliced_zucchini.jpg,zucchii
soda_1,soda_1.jpg,soda
soda_2,soda_2.jpg,soda
soda_cans,soda_cans.jpg,soda
soda_lime,soda_lime.jpg,soda
soda,soda.jpg,soda
string_beans_1,string_beans_1.jpg,string_beans
string_beans,string_beans.jpg,string_beans
thyme,thyme.jpg,thyme
tomato_1,tomato_1.jpg,tomato
tomato_sauce_1,tomato_sauce_1.jpg,tomato_sauce
tomato_sauce_2,tomato_sauce_2.jpg,tomato_sauce
tomato_sauce_3,tomato_sauce_3.jpg,tomato_sauce
tomato_sauce_4,tomato_sauce_4.jpg,tomato_sauce
tomato_sauce_5,tomato_sauce_5.jpg,tomato_sauce
tomato_sauce,tomato_sauce.jpg,tomato_sauce
tomato_soup_can_1,tomato_soup_can_1.jpg,tomato_soup_can
tomato_soup_can,tomato_soup_can.jpg,tomato_soup_can
tomato,tomato.jpg,tomato
tomatoes_1,tomatoes_1.jpg,tomato
tomatoes,tomatoes.jpg,tomato
uncooked_chicken_breast,uncooked_chicken_breast.jpg,chicken
uncooked_chicken,uncooked_chicken.jpg,chicken
uncooked_steak,uncooked_steak.jpg,steak
walnut_1,walnut_1.jpg,walnuts
walnut,walnut.jpg,walnuts
walnuts,walnuts.jpg,walnuts
wheat_bread,wheat_bread.jpg,bread
white_onion,white_onion.jpg,onion
yellow_bell_pepper,yellow_bell_pepper.jpg,bell_pepper
yellow_onion_1,yellow_onion_1.jpg,onion
yellow_onion_2,yellow_onion_2.jpg,onion
yellow_onion_3,yellow_onion_3.jpg,onion
yellow_onion,yellow_onion.jpg,onion
yellow_onions_1,yellow_onions_1.jpg,onion
yellow_onions_2,yellow_onions_2.jpg,onion
yellow_onions_3,yellow_onions_3.jpg,onion
yellow_onions,yellow_onions.jpg,onion
zucchini_1,zucchini_1.jpg,zucchini
zucchini_2,zucchini_2.jpg,zucchini
zucchini_3,zucchini_3.jpg,zucchini
zucchini_4,zucchini_4.jpg,zucchini
zucchini_slices,zucchini_slices.jpg,zucchini
zucchini,zucchini.jpg,zucchini
zucchinis,zucchinis.jpg,zucchini
